image_id,quality_score
000c1434d8d7,0.7383100390434265
001639a390f0,0.08151483535766602
0024cdab0c1e,0.8774805665016174
002c21358ce6,0.0006718413205817342
005b95c28852,0.8705305457115173
0083ee8054ee,0.005580403376370668
0097f532ac9f,0.25809651613235474
00a8624548a9,0.20739494264125824
00b74780d31d,0.9959814548492432
00cb6555d108,0.011251571588218212
00cc2b75cddd,0.0027422967832535505
00e4ddff966a,0.0001912278967211023
00f6c1be5a33,0.005445733200758696
0104b032c141,0.010390236973762512
0124dffecf29,0.009527569636702538
0125fbd2e791,0.0018195923184975982
012a242ac6ff,0.275224506855011
014508ccb9cb,0.6507807374000549
0151781fe50b,0.9440957307815552
0161338f53cc,0.0036225628573447466
0180bfa26c0b,0.9955078363418579
0182152c50de,0.16251589357852936
01b3aed3ed4c,0.00874108262360096
01c7808d901d,0.9456053376197815
01d9477b1171,0.21695618331432343
01eb826f6467,0.0013274898519739509
01f7bb8be950,0.10711558163166046
0212dd31f623,0.003987450152635574
022f820027b8,0.6588337421417236
0231642cf1c2,0.4533432424068451
0232dfea7547,0.0033354132901877165
02358b47ea89,0.0014320812188088894
0243404e8a00,0.34420302510261536
025a169a0bb0,0.022894596680998802
02685f13cefd,0.9444758892059326
026dcd9af143,0.9020330905914307
02cd34a85b24,2.624557600938715e-05
02da652c74b8,0.056587014347314835
02dda30d3acf,0.035151541233062744
0304bedad8fe,0.0008559569250792265
0318598cfd16,0.032623276114463806
032d7b0b4bf6,0.8521679043769836
033f2b43de6d,0.9969154596328735
034cb07a550f,0.8635157942771912
03676c71ed1b,0.0003923162294086069
0369f3efe69b,0.045727867633104324
03747397839f,0.8822764754295349
03a7f4a5786f,0.00605654576793313
03b373718013,0.003438721178099513
03c85870824c,0.04094197601079941
03e25101e8e8,0.19394806027412415
03fd50da928d,0.14586584270000458
03ff7d159f10,0.318640798330307
0415fc68b176,0.9825259447097778
041f09eec1e8,0.0130795668810606
0423237770a7,0.0026395292952656746
042470a92154,0.12600912153720856
04579e31e4be,0.0005476496298797429
04a6fc58dabc,0.015025152824819088
04ac765f91a1,0.0007423603674396873
04aef84a2cc1,0.9504503011703491
04d029cfb612,0.0019579848740249872
04efb1a284cc,0.0004510554135777056
050bb1eafa76,0.5183688998222351
05113073b268,0.015481065958738327
05195a3db5e2,0.23748303949832916
0519b934f6b1,0.21656402945518494
052d9a3fe55a,0.9129391312599182
05339950962e,0.003610660322010517
054b1b305160,0.009536869823932648
0551676cc2aa,0.4601205289363861
059bc89df7f4,0.06098230928182602
05a5183c92d0,0.015874536707997322
05b1bb2bdb81,0.19658580422401428
05cd0178ccfe,0.029601145535707474
05e9126dfa5c,0.000238250067923218
06024377d573,0.004825497977435589
060e00d1e2ab,0.9497439861297607
064af6592ba6,0.6981742978096008
06586082a24d,0.798795759677887
0684311afdfc,0.07680803537368774
069f43616fab,0.6670606732368469
06b71823f9cd,0.9397611618041992
06be1092a062,0.5586058497428894
07083738b75e,0.201372429728508
0709652336e2,0.2231733649969101
070d4ce5fd90,0.01972898654639721
070f67572d03,0.662331223487854
07122e268a1d,0.9414780735969543
071435a218ec,0.022315993905067444
